Model;Promo_Price;Price;URL
['SAMSUNG', 'QE55QN85AAUXUA'];59999;74 999-15 000                                        59 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe55qn85aauxua.html
['SONY', 'KD43X81JR'];24999;31 249-6 250                                        24 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_kd43x81jr.html
['SAMSUNG', 'QE75QN85AAUXUA'];119999;140 999-21 000                                        119 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe75qn85aauxua.html
['ERGO', '43WUS9100'];14399;15 989-1 590                                        14 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ergo_43wus9100.html
['SETUP', '43FSF20'];9999;12 499-2 500                                        9 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_setup_43fsf20.html
['SONY', 'KD55X81JR'];32399;40 499-8 100                                        32 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_kd55x81jr.html
['MYSTERY', 'MTV-4055HT2'];6699;8 999-2 300                                        6 699 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_mystery_mtv_4055ht2.html
['HISENSE', '50A7300F'];15999;17 999-2 000                                        15 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_50a7300f.html
['SAMSUNG', 'QE65QN85AAUXUA'];79999;107 499-27 500                                        79 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe65qn85aauxua.html
['KIVI', '24H500LB'];4999;5 999-1 000                                        4 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_24h500lb.html
['SETUP', '32HSF20'];6399;6 799-400                                        6 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_setup_32hsf20.html
['SAMSUNG', 'QE75Q60BAUXUA'];81999;102 499-20 500                                        81 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe75q60bauxua.html
